N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"58,200",400,+0.69%,100,"3,474,413","5,969,783",49.82,"15,634,878",9.44,13.92,
2,LG에너지솔루션,"433,500","9,500",-2.14%,500,"1,014,390","234,000",5.08,"289,958",176.65,10.68,
3,SK하이닉스,"81,400",400,+0.49%,"5,000","592,594","728,002",49.83,"3,377,222",6.39,16.84,
4,삼성바이오로직스,"808,000","14,000",+1.76%,"2,500","575,086","71,174",10.77,"50,004",109.69,8.21,
5,삼성전자우,"53,600","1,500",+2.88%,100,"441,067","822,887",71.66,"801,371",8.70,N/A,
6,LG화학,"581,000","20,000",-3.33%,"5,000","410,142","70,592",48.18,"189,318",20.44,18.47,
7,삼성SDI,"583,000","20,000",-3.32%,"5,000","400,897","68,765",47.44,"355,716",23.91,8.45,
8,현대차,"159,000","1,500",-0.93%,"5,000","339,732","213,668",28.91,"574,817",7.09,6.84,
9,NAVER,"186,000","3,500",+1.92%,100,"305,131","164,049",48.55,"1,092,686",32.77,106.72,
10,카카오,"57,700","2,000",+3.59%,100,"257,002","445,410",26.67,"3,037,162",16.54,17.10,
11,기아,"61,100",900,-1.45%,"5,000","247,677","405,363",35.66,"1,578,661",5.36,14.69,
12,POSCO홀딩스,"278,500","4,000",+1.46%,"5,000","235,531","84,571",51.48,"326,527",4.56,13.97,
13,셀트리온,"163,000","2,500",+1.56%,"1,000","229,512","140,805",20.96,"286,564",40.17,16.04,
14,KB금융,"53,900","3,400",+6.73%,"5,000","220,396","408,897",73.37,"2,514,743",4.77,9.80,
15,삼성물산,"113,500","2,000",-1.73%,100,"212,117","186,887",16.85,"214,000",11.99,5.40,
16,신한지주,"39,450","3,050",+8.38%,"5,000","200,716","508,785",62.45,"3,866,147",4.40,8.80,
17,현대모비스,"207,000","4,000",+1.97%,"5,000","195,170","94,285",35.68,"207,155",8.17,6.87,
18,LG전자,"89,900",200,+0.22%,"5,000","147,119","163,648",26.51,"371,139",10.28,6.32,
19,포스코케미칼,"183,500","4,000",-2.13%,500,"142,145","77,463",8.07,"517,373",88.39,7.92,
20,삼성생명,"71,000",100,+0.14%,500,"142,000","200,000",13.75,"231,353",20.03,4.01,
21,SK,"187,500","1,000",-0.53%,200,"139,030","74,149",22.37,"85,343",4.06,10.19,
22,하나금융지주,"46,950","3,150",+7.19%,"5,000","138,927","295,903",70.44,"2,602,255",3.79,10.86,
23,SK이노베이션,"148,000","1,500",-1.00%,"5,000","136,849","92,466",26.09,"248,264",6.27,1.91,
24,카카오뱅크,"27,300","1,900",+7.48%,"5,000","130,147","476,731",13.82,"4,946,062",54.38,4.91,
25,한국전력,"19,800",250,+1.28%,"5,000","127,109","641,964",14.47,"1,554,541",-0.62,-7.99,
26,KT&G,"87,700",900,-1.02%,"5,000","120,406","137,292",43.62,"251,939",10.36,10.74,
27,LG,"76,500",200,+0.26%,"5,000","120,335","157,301",36.22,"179,512",5.57,12.36,
28,LG생활건강,"730,000","27,000",+3.84%,"5,000","114,013","15,618",35.92,"55,290",26.81,16.65,
29,삼성전기,"145,000","1,500",+1.05%,"5,000","108,306","74,694",29.17,"691,098",11.80,14.29,
